sid_unique_ID,domain,company,address,city,state,address,country,phone,sid_name,annual_sales
18687617,,#1 Cochran Automotive,4520 William Penn Hwy,Monroeville,PA,4520 William Penn Hwy,United States,412-373-3333,"CAR & TRUCK DEALERS, NEW & USED","300,000,000"
794828,,1 Touch Marketing,123 NW 13th St Ste 300,Boca Raton,FL,123 NW 13th St Ste 300,United States,561-368-5067,MANAGEMENT CONSULTING SERVICES,"202,800,000"
1730007,,1-800 Contacts,66 Wadsworth Park Dr Ste 300,Draper,UT,66 Wadsworth Park Dr Ste 300,United States,801-316-5000,CATALOG & MAIL-ORDER HOUSES,"236,080,000"
19502921,,10 Ellicott Square Court,295 Main St Ste 210,Buffalo,NY,295 Main St Ste 210,United States,716-856-8755,"SUBDIVIDERS & DEVELOPERS, EXC CEMETERY","300,000,000"
21406055,,1100 Broadway Nashville,1100 Broadway,Nashville,TN,1100 Broadway,United States,615-259-8865,ADVERTISING AGENCIES,"300,000,000"
1295131,,1105 Media,9201 Oakdale Ave Ste 101,Chatsworth,CA,9201 Oakdale Ave Ste 101,United States,818-734-1520,"RADIO, TV & PUBLISHERS ADVERTISING REPS","210,288,000"
2008008,,11906 Brittmoore Park Drive,11906 Brittmoore Park Dr A,Houston,TX,11906 Brittmoore Park Dr A,United States,281-582-0700,REFUSE SYSTEMS,"192,000,000"
2289930,,1199seiu United Health Care Workers East,310 W 43rd St,New York,NY,310 W 43rd St,United States,212-582-1890,LABOR UNIONS & LABOR ORGANIZATIONS,"167,433,793"
22166917,,140 Wasatch Care Center,3430 Harrison Blvd,Ogden,UT,3430 Harrison Blvd,United States,801-399-5609,"NURSING CARE FACILITIES, SKILLED","386,722,000"
21968452,,1492 Hospitality,137 Sheehan Rd,Avondale,PA,137 Sheehan Rd,United States,610-268-1492,MANAGEMENT SERVICES,"104,000,000"
6935446,,1025 Vermont Ave Investors,1025 Vermont Ave NW,Washington,DC,1025 Vermont Ave NW,United States,202-347-2892,REAL ESTATE AGENTS & MANAGERS,"300,000,000"
18572671,,1199seiu Greater NY Benefit Fund,,New York,NY,,United States,646-473-6030,"TRUSTS, EXC EDUC, RELIGIOUS, CHARITABLE","163,412,222"
18572508,,1199seiu NBF For Home Care Employees,,New York,NY,,United States,646-473-6020,HOME HEALTH CARE SERVICES,"170,914,640"
252233,,1260 BB Property,1260 Channel Dr,Santa Barbara,CA,1260 Channel Dr,United States,805-969-2261,HOTELS & MOTELS,"104,000,000"
27935919,,155 East Tropicana Finance,115 East Tropicana Avenue,Las Vegas,NV,115 East Tropicana Avenue,United States,702-739-9000,"AMUSEMENT & RECREATION SERVICES, NEC","149,760,000"
